Vendor,GRAPHTEC Corporation
Model,GL840
Firmware,Ver1.24
Software, "Ver1.22"
MaxChannel,20CH
GSStartCH,20CH
WLStartCH,20CH
Sampling,2s
Total data points,127         
Trigger,0           
Start time,2023-03-03,14:35:58
Stop time,2023-03-03,14:40:14
Trigger time,2023-03-03,14:36:02
AC Mode, AC1_2, AC1_2, AC1_2, AC1_2, AC1_2, AC1_2, AC1_2
Logic/Pulse,Off,Off,Off,Off,Off,Off,Off
Amp setting
CH, Signal name, AMP, Input, Range, Temp Range, Filter, Span
CH1,CH1,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH2,CH2,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH3,CH3,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH4,CH4,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH5,CH5,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH6,CH6,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH7,CH7,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH8,CH8,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH9,CH9,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
CH10,CH10,M,TEMP,TC_K,100degC,Off,100.000000,-10.000000,degC
Data
No., Date&Time, ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1,Alarm2,AlarmOut
NO.,Time,ms,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,A1234567890,A1234567890,A123456789
22        ,2023-03-03 14:36:44,000,  +24.82,  +25.10,  +25.04,  +24.89,  +26.52,  +51.24,  +24.52,  +25.07,  +24.50,  +24.37,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
23        ,2023-03-03 14:36:46,000,  +24.68,  +25.10,  +25.03,  +24.91,  +26.78,  +41.12,  +24.46,  +25.39,  +24.46,  +23.95,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
24        ,2023-03-03 14:36:48,000,  +24.66,  +25.12,  +25.03,  +24.89,  +27.01,  +44.61,  +24.32,  +26.43,  +25.19,  +24.99,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
25        ,2023-03-03 14:36:50,000,  +24.66,  +25.12,  +25.02,  +24.91,  +27.41,  +54.47,  +24.19,  +26.13,  +24.66,  +24.58,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
26        ,2023-03-03 14:36:52,000,  +24.71,  +25.12,  +25.03,  +24.93,  +27.67,  +62.97,  +24.58,  +26.41,  +25.43,  +24.78,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
27        ,2023-03-03 14:36:54,000,  +24.79,  +25.10,  +25.02,  +24.94,  +27.86,  +56.41,  +24.09,  +25.67,  +25.41,  +25.23,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
28        ,2023-03-03 14:36:56,000,  +24.82,  +25.10,  +25.02,  +24.94,  +28.02,  +48.51,  +23.96,  +25.10,  +25.00,  +25.32,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
29        ,2023-03-03 14:36:58,000,  +24.75,  +25.09,  +25.00,  +24.95,  +28.18,  +52.64,  +24.46,  +24.74,  +24.82,  +25.81,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
30        ,2023-03-03 14:37:00,000,  +24.78,  +25.10,  +25.00,  +24.94,  +28.64,  +61.38,  +25.04,  +24.53,  +24.91,  +25.62,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
31        ,2023-03-03 14:37:02,000,  +24.83,  +25.12,  +24.99,  +24.98,  +29.21,  +63.39,  +24.43,  +24.46,  +24.61,  +25.91,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
32        ,2023-03-03 14:37:04,000,  +24.82,  +25.12,  +24.99,  +25.00,  +29.84,  +50.02,  +25.04,  +25.19,  +24.55,  +26.57,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
33        ,2023-03-03 14:37:06,000,  +24.82,  +25.10,  +24.98,  +25.00,  +30.46,  +41.63,  +25.12,  +25.05,  +24.58,  +25.69,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
34        ,2023-03-03 14:37:08,000,  +24.78,  +25.10,  +24.99,  +25.02,  +30.99,  +38.70,  +24.37,  +24.99,  +24.32,  +25.19,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
35        ,2023-03-03 14:37:10,000,  +24.82,  +25.12,  +24.96,  +25.03,  +31.73,  +41.99,  +25.57,  +25.29,  +24.66,  +24.80,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
36        ,2023-03-03 14:37:12,000,  +24.87,  +25.10,  +24.98,  +25.04,  +32.28,  +45.45,  +25.07,  +24.57,  +25.09,  +25.05,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
37        ,2023-03-03 14:37:14,000,  +24.86,  +25.09,  +24.95,  +25.03,  +32.74,  +46.27,  +25.29,  +24.77,  +24.91,  +24.96,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
38        ,2023-03-03 14:37:16,000,  +24.84,  +25.07,  +24.94,  +25.05,  +33.12,  +42.12,  +25.86,  +24.69,  +25.21,  +24.59,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
39        ,2023-03-03 14:37:18,000,  +24.82,  +25.07,  +24.94,  +25.07,  +33.59,  +38.63,  +25.37,  +24.41,  +25.12,  +25.12,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
40        ,2023-03-03 14:37:20,000,  +24.80,  +25.07,  +24.95,  +25.07,  +33.98,  +49.32,  +26.34,  +24.61,  +25.12,  +24.94,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
41        ,2023-03-03 14:37:22,000,  +24.91,  +25.12,  +24.95,  +25.09,  +34.55,  +56.42,  +26.43,  +25.35,  +25.53,  +25.46,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
42        ,2023-03-03 14:37:24,000,  +24.93,  +25.12,  +24.96,  +25.09,  +35.29,  +52.76,  +26.00,  +24.69,  +25.29,  +24.55,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
43        ,2023-03-03 14:37:26,000,  +24.91,  +25.12,  +24.98,  +25.10,  +35.79,  +42.87,  +25.67,  +25.12,  +26.00,  +25.25,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
44        ,2023-03-03 14:37:28,000,  +24.89,  +25.12,  +24.99,  +25.10,  +36.35,  +37.68,  +25.57,  +24.47,  +24.93,  +24.91,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
45        ,2023-03-03 14:37:30,000,  +24.91,  +25.12,  +25.00,  +25.12,  +36.84,  +39.48,  +25.95,  +24.77,  +25.41,  +24.80,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
46        ,2023-03-03 14:37:32,000,  +24.96,  +25.12,  +24.99,  +25.15,  +37.73,  +43.65,  +25.76,  +24.47,  +25.04,  +25.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
47        ,2023-03-03 14:37:34,000,  +25.00,  +25.12,  +25.00,  +25.16,  +38.37,  +47.10,  +25.54,  +25.28,  +25.19,  +24.66,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
48        ,2023-03-03 14:37:36,000,  +25.02,  +25.12,  +24.99,  +25.19,  +38.87,  +44.69,  +26.05,  +24.94,  +25.29,  +24.80,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
49        ,2023-03-03 14:37:38,000,  +25.04,  +25.14,  +25.00,  +25.21,  +39.34,  +40.77,  +25.75,  +25.20,  +25.77,  +24.66,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
50        ,2023-03-03 14:37:40,000,  +25.04,  +25.12,  +24.99,  +25.23,  +39.77,  +44.14,  +25.71,  +24.55,  +25.48,  +24.94,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
51        ,2023-03-03 14:37:42,000,  +25.15,  +25.18,  +25.00,  +25.23,  +40.24,  +52.23,  +25.70,  +25.20,  +25.04,  +25.00,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
52        ,2023-03-03 14:37:44,000,  +25.20,  +25.18,  +24.99,  +25.23,  +40.66,  +54.25,  +25.93,  +25.03,  +24.50,  +24.80,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
53        ,2023-03-03 14:37:46,000,  +25.30,  +25.19,  +25.02,  +25.23,  +41.09,  +45.38,  +26.23,  +24.79,  +24.57,  +25.29,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
54        ,2023-03-03 14:37:48,000,  +25.29,  +25.19,  +25.02,  +25.23,  +41.45,  +38.95,  +25.59,  +24.25,  +24.95,  +24.68,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
55        ,2023-03-03 14:37:50,000,  +25.30,  +25.19,  +25.00,  +25.25,  +42.02,  +36.62,  +26.25,  +25.09,  +25.05,  +25.39,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
56        ,2023-03-03 14:37:52,000,  +25.32,  +25.19,  +25.02,  +25.30,  +42.92,  +40.41,  +25.89,  +24.33,  +25.18,  +24.86,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
57        ,2023-03-03 14:37:54,000,  +25.41,  +25.20,  +25.03,  +25.32,  +43.61,  +43.45,  +26.60,  +24.91,  +25.64,  +25.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
58        ,2023-03-03 14:37:56,000,  +25.50,  +25.23,  +25.04,  +25.36,  +44.27,  +44.72,  +26.02,  +24.79,  +25.40,  +24.63,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
59        ,2023-03-03 14:37:58,000,  +25.59,  +25.23,  +25.07,  +25.39,  +44.90,  +40.83,  +26.24,  +24.75,  +25.16,  +24.75,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
60        ,2023-03-03 14:38:00,000,  +25.62,  +25.23,  +25.07,  +25.41,  +45.36,  +37.74,  +25.77,  +25.12,  +24.68,  +25.23,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
61        ,2023-03-03 14:38:02,000,  +25.62,  +25.28,  +25.07,  +25.45,  +45.77,  +46.37,  +25.72,  +25.34,  +25.55,  +25.30,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
62        ,2023-03-03 14:38:04,000,  +25.67,  +25.29,  +25.07,  +25.45,  +46.26,  +51.83,  +25.79,  +24.57,  +24.78,  +24.61,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
63        ,2023-03-03 14:38:06,000,  +25.75,  +25.32,  +25.10,  +25.48,  +46.44,  +49.68,  +25.66,  +25.00,  +25.51,  +25.54,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
64        ,2023-03-03 14:38:08,000,  +25.81,  +25.34,  +25.12,  +25.48,  +46.71,  +40.84,  +24.99,  +24.83,  +24.80,  +25.12,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
